player_id,role,fname,lname,name,mapped_role,position,f_pos
7fd63e1d,Unknown,Jessie,Bennett,Jessica Louise Bennett,,,
9caed2f4,Unknown,Jack,MacBryan,John Crawford William MacBryan,,,
fc55ec67,Bowling allrounder,Mark,Adair,Mark Richard Adair,Allrounder,,Allrounder
ddc7e056,Unknown,Paolo,Buccimazza,Paolo Buccimazza,,Bowler,Bowler
c821e504,Unknown,Bipin,Kumar,Bipin Kumar Kunjiraman,,,Allrounder
de27f4f9,Unknown,Paul,Burdekin,Paul Burdekin,,,
d9ba2b82,Unknown,Jadhavji,Bhimji,Jadhavji Laxman Bhimji,,,Allrounder
b5b33b4a,Batter,Wilfred,Diepeveen,Wilfred Peter Diepeveen,Batter,,Batter
6f596571,Unknown,Michael,Ragoonath,Michael Ragoonath,,,
35aa26af,Top-order batter,Andy,Flower,Andrew Flower,Batter,,Batter
4cb5e3d1,Wicketkeeper batter,Bipin,Saurabh,Bipin Kumar Saurabh,Wicketkeeper,,Wicketkeeper
900d48c5,Unknown,Allen,Lissette,Allen Fisher Lissette,,,
a3e9e43d,Unknown,Robert,Yates,Robert John Yates,,Batsman,Batter
74ce53b4,Unknown,Brendon,Louw,Brendon Ivan Louw,,,Allrounder
cc00a786,Unknown,Raheel,Kano,Raheel Kano,,,Allrounder
2ea4ec42,Bowler,Angus,Fraser,Angus Robert Charles Fraser,Bowler,,Bowler
ff1e68fa,Top-order batter,Baba,Indrajith,Baba Indrajith,Batter,,Batter
76dc16d4,Wicketkeeper batter,Jack,Davies,Jack Leo Benjamin Davies,Wicketkeeper,,Wicketkeeper
11ec0b58,Unknown,James,Wainman,James Charles Wainman,,Bowler,Bowler
e3dd0d8e,Middle-order batter,Roy,Kaia,Roy Kaia,Batter,,Batter
40431f63,Unknown,Abdul,Rahman,Mohammad Abdul Rahman,,,
ddc0828d,Allrounder,Andrew,Flintoff,Andrew Flintoff,Allrounder,,Allrounder
4e7aa570,Opening batter,Merissa,Aguilleira,Merissa Ria Aguilleira,Batter,,Wicketkeeper
5892ac75,Unknown,Ramesh,Kalimuthu,Ramesh Kalimuthu,,Allrounder,Allrounder
6625023d,Unknown,Rashi,Kanojiya,Rashi Kanojiya,,Bowler,Bowler
785cf90a,Unknown,Percie,Charlton,Percie Chater Charlton,,,
7f94fc14,Unknown,Jamie,Brazier,Jamie Lee Brazier,,,
59a7fc89,Unknown,Qaasim,Adams,Moegamat Qaasim Adams,,Batsman,Wicketkeeper
5fd762d5,Bowler,Abdul,Rahman,Abdul Rahman Rahmani,Bowler,,Bowler
6e0d8de5,Unknown,Abhi,Chauhan,Abhishek Raj Chauhan,,,
c18496e1,Allrounder,Bipul,Sharma,Bipul Sharma,Allrounder,,Allrounder
5959370f,Allrounder,Rosenan,Kanoh,Rosenan Kanoh,Allrounder,,Allrounder
b245cd8b,Bowler,Archara,Supriya,Archara Supriya,Bowler,,Bowler
b786b38f,Unknown,AFM,Akhtaruddin,AFM Akhtaruddin,,,
98e4af63,Unknown,Jawahar,Danikula,Jawahar Danikula,,Bowler,Bowler
9171da5a,Unknown,Harry,Houillon,Harry F Houillon,,Batsman,Batter
25020f9d,Bowler,Andy,Caddick,Andrew Richard Caddick,Bowler,,Bowler
a9b998d9,Unknown,Michael,Raikes,Michael Raikes,,,Allrounder
0a9d8b61,Batting allrounder,Jonathan,Carter,Jonathan Lyndon Carter,Allrounder,,Wicketkeeper
2c14421f,Unknown,Brett,Isaac,Brett Isaac,,,Allrounder
22e8ba50,Unknown,Prue,Catton,Prue Catton,,Batsman,Batter
9b683f4d,Unknown,Binny,Samual,M Lazar Binny Samual,,,
e412cb64,Bowler,Harry,Gurney,Harry Frederick Gurney,Bowler,,Bowler
350bb1b1,Bowler,Adam,Milne,Adam Fraser Milne,Bowler,,Bowler
ec2269dc,Top-order batter,Mithali,Raj,Mithali Dorai Raj,Batter,,Batter
3caaf69e,Unknown,Peter,Campbell,Peter Campbell,,,Allrounder
d68b84d2,Unknown,Henry,Foley,Henry Foley,,,
81991d02,Unknown,Jack,O'Connor,John Denis Alphonsus O'Connor,,,
40d1b7bd,Unknown,Mimmie,Ramafifi,Mimmie Ramafifi,,,Allrounder
df2dde61,Unknown,Abdulrahman,Dashti,Abdulrahman Dashti,,,Allrounder
3758028b,Unknown,Jarryd,Allan,Jarryd David Allan,,Batsman,Wicketkeeper
119dc992,Unknown,Ramatu,Kassim,Ramatu Kassim,,,Allrounder
0d38ab25,Unknown,Hernan,Fennell,Hernan Fennell,,,Allrounder
13cff5ff,Unknown,Jack,White,John Cornish White,,,
46c6db48,Unknown,Herby,Wade,Herbert Frederick Wade,,,
d60640f9,Unknown,Allan,From,Allan From-Hansen,,,
b2b9a7a0,Unknown,Jonathan,Clare,Jonathan Luke Clare,,,Allrounder
6eb2fb00,Unknown,Abdul,Rashid,Abdul Rashid Karim Dostikhel,,Batsman,Batter
5500c675,Bowler,Peter,Connell,Peter Christopher Connell,Bowler,,Bowler
c1c5bdb3,Unknown,Allan,Rae,Allan Fitzroy Rae,,,
82bc5a94,Unknown,Archie,Carter,Archie R Carter,,,
15deff66,Unknown,Bishworjit,Konthoujam,Bishworjit Singh Konthoujam,,,Allrounder
e8c00c13,Unknown,Jarryd,Richardson,Jarryd Dwayne Antwone Richardson,,,Wicketkeeper
b40ee8a8,Allrounder,Chaturanga,Silva,Pinnaduwage Chaturanga de Silva,Allrounder,,Allrounder
bc34b0e6,Unknown,Joe,Cox,Joseph Lovell Cox,,,
11515742,Batter,Andy,Collins,Andrew Richard Collins,Batter,,Batter
12f53be7,Batter,Abdul,Bhadelia,Abdul Rahman Bhadelia,Batter,,Batter
8af0bfa4,Unknown,Andrew,Craig,Andrew Ross Craig,,,
50930025,Wicketkeeper batter,Afsar,Zazai,Afsar Khan Zazai,Wicketkeeper,,Wicketkeeper
609d6c7c,Unknown,William,Peatfield,William Alexander Peatfield,,Bowler,Bowler
9c02e1f5,Unknown,Joe,Darling,Joseph Darling,,,
b5c83d22,Bowler,Phoebe,Graham,Phoebe Claire Graham,Bowler,,Bowler
bab78fa2,Wicketkeeper batter,Joshua,Silva,Joshua Da Silva,Wicketkeeper,,Wicketkeeper
d3cefce5,Wicketkeeper batter,Bismillah,Khan,Bismillah Khan,Wicketkeeper,,Wicketkeeper
a4349861,Unknown,Joel,Curtis,Joel L Curtis,,,Allrounder
34031041,Bowler,Rajesh,Chauhan,Rajesh Kumar Chauhan,Bowler,,Bowler
